timestamp,account_id,amount,beneficiary,type
2026-03-10 07:55:49.997579,ACC_000860,42413.19,BEN_RO_003,UPI/NEFT
2026-03-10 07:35:49.997579,ACC_000860,43230.36,BEN_RO_003,UPI/NEFT
2026-03-02 05:19:01.997579,ACC_003772,14820.16,BEN_NG_002,UPI/NEFT
2026-03-02 04:23:01.997579,ACC_003772,44245.82,BEN_RO_003,UPI/NEFT
2026-03-02 04:03:01.997579,ACC_003772,14034.62,BEN_RO_003,UPI/NEFT
2026-03-02 04:46:01.997579,ACC_003772,46519.67,BEN_IN_004,UPI/NEFT
2026-03-02 05:38:01.997579,ACC_003772,48403.19,BEN_IN_004,UPI/NEFT
2026-03-11 10:05:31.997579,ACC_003092,37035.41,BEN_SG_001,UPI/NEFT
2026-03-02 04:45:25.997579,ACC_000466,9333.19,BEN_SG_001,UPI/NEFT
2026-03-02 05:00:25.997579,ACC_000466,29484.98,BEN_RO_003,UPI/NEFT
2026-03-11 20:50:37.997579,ACC_004426,44756.52,BEN_RO_003,UPI/NEFT
2026-03-11 20:44:37.997579,ACC_004426,38780.32,BEN_NG_002,UPI/NEFT
2026-03-11 20:48:37.997579,ACC_004426,20375.51,BEN_SG_001,UPI/NEFT
2026-03-07 23:18:07.997579,ACC_003444,47500.8,BEN_SG_001,UPI/NEFT
2026-03-07 23:17:07.997579,ACC_003444,12535.77,BEN_IN_004,UPI/NEFT
2026-03-08 00:48:07.997579,ACC_003444,21892.95,BEN_NG_002,UPI/NEFT
2026-03-08 00:46:07.997579,ACC_003444,22969.12,BEN_IN_004,UPI/NEFT
2026-03-07 23:40:07.997579,ACC_003444,17484.69,BEN_NG_002,UPI/NEFT
2026-03-11 10:52:19.997579,ACC_003171,28497.46,BEN_IN_004,UPI/NEFT
2026-03-09 15:36:43.997579,ACC_002919,13244.09,BEN_NG_002,UPI/NEFT
2026-03-09 15:21:43.997579,ACC_002919,17440.96,BEN_IN_004,UPI/NEFT
2026-03-09 16:07:43.997579,ACC_002919,43261.91,BEN_IN_004,UPI/NEFT
2026-03-09 15:15:43.997579,ACC_002919,34156.72,BEN_SG_001,UPI/NEFT
2026-03-09 10:19:31.997579,ACC_000130,10411.97,BEN_RO_003,UPI/NEFT
2026-03-09 11:04:31.997579,ACC_000130,30916.73,BEN_RO_003,UPI/NEFT
2026-03-02 05:19:37.997579,ACC_001685,39339.47,BEN_RO_003,UPI/NEFT
2026-03-02 05:58:37.997579,ACC_001685,24960.63,BEN_SG_001,UPI/NEFT
2026-03-09 05:07:25.997579,ACC_000769,44878.36,BEN_RO_003,UPI/NEFT
2026-03-09 05:05:25.997579,ACC_000769,23217.27,BEN_NG_002,UPI/NEFT
2026-03-06 18:05:31.997579,ACC_002391,20188.15,BEN_SG_001,UPI/NEFT
2026-03-06 17:45:31.997579,ACC_002391,38348.4,BEN_RO_003,UPI/NEFT
2026-03-08 03:01:43.997579,ACC_002433,15410.39,BEN_NG_002,UPI/NEFT
