transaction_id,borrower_id,timestamp,transaction_type,amount,status,balance_after
TXN_BORR_00001_00_INFLOW,BORR_00001,2025-09-22T14:27:10.371416,BUSINESS_INFLOW,38998.34,POSTED,63998.34
TXN_BORR_00001_00_OUTFLOW,BORR_00001,2025-09-29T14:27:10.371416,BUSINESS_OUTFLOW,38961.26,POSTED,25037.08
TXN_BORR_00001_00_EMI,BORR_00001,2025-10-20T14:27:10.371416,EMI_PAYMENT,16628.72,ON_TIME,8408.36
TXN_BORR_00001_01_INFLOW,BORR_00001,2025-10-18T14:27:10.371416,BUSINESS_INFLOW,40947.47,POSTED,49355.84
TXN_BORR_00001_01_OUTFLOW,BORR_00001,2025-10-25T14:27:10.371416,BUSINESS_OUTFLOW,31361.76,POSTED,17994.08
TXN_BORR_00001_01_EMI,BORR_00001,2025-11-15T14:27:10.371416,EMI_PAYMENT,16628.72,ON_TIME,1365.36
TXN_BORR_00001_02_INFLOW,BORR_00001,2025-11-20T14:27:10.371416,BUSINESS_INFLOW,44349.09,POSTED,45714.45
TXN_BORR_00001_02_OUTFLOW,BORR_00001,2025-11-27T14:27:10.371416,BUSINESS_OUTFLOW,27269.29,POSTED,18445.16
TXN_BORR_00001_02_EMI,BORR_00001,2025-12-18T14:27:10.371416,EMI_PAYMENT,12578.79,DELAYED,5866.37
TXN_BORR_00001_03_INFLOW,BORR_00001,2025-12-19T14:27:10.371416,BUSINESS_INFLOW,45099.52,POSTED,50965.88
TXN_BORR_00001_03_OUTFLOW,BORR_00001,2025-12-26T14:27:10.371416,BUSINESS_OUTFLOW,39191.9,POSTED,11773.98
TXN_BORR_00001_03_EMI,BORR_00001,2026-01-16T14:27:10.371416,EMI_PAYMENT,12111.51,DELAYED,0.0
TXN_BORR_00001_04_INFLOW,BORR_00001,2026-01-18T14:27:10.371416,BUSINESS_INFLOW,43413.2,POSTED,43413.2
TXN_BORR_00001_04_OUTFLOW,BORR_00001,2026-01-25T14:27:10.371416,BUSINESS_OUTFLOW,39269.32,POSTED,4143.88
TXN_BORR_00001_04_EMI,BORR_00001,2026-02-13T14:27:10.371416,EMI_PAYMENT,14780.82,DELAYED,0.0
TXN_BORR_00001_05_INFLOW,BORR_00001,2026-02-19T14:27:10.371416,BUSINESS_INFLOW,44205.77,POSTED,44205.77
TXN_BORR_00001_05_OUTFLOW,BORR_00001,2026-02-26T14:27:10.371416,BUSINESS_OUTFLOW,40214.75,POSTED,3991.02
TXN_BORR_00001_05_EMI,BORR_00001,2026-03-19T14:27:10.371416,EMI_PAYMENT,16628.72,ON_TIME,0.0
TXN_BORR_00002_00_INFLOW,BORR_00002,2025-09-20T14:27:10.371416,BUSINESS_INFLOW,15000.0,POSTED,40000.0
TXN_BORR_00002_00_OUTFLOW,BORR_00002,2025-09-27T14:27:10.371416,BUSINESS_OUTFLOW,10000.0,POSTED,30000.0
TXN_BORR_00002_00_EMI,BORR_00002,2025-10-15T14:27:10.371416,EMI_PAYMENT,2874.62,DELAYED,27125.38
TXN_BORR_00002_01_INFLOW,BORR_00002,2025-10-18T14:27:10.371416,BUSINESS_INFLOW,15000.0,POSTED,42125.38
TXN_BORR_00002_01_OUTFLOW,BORR_00002,2025-10-25T14:27:10.371416,BUSINESS_OUTFLOW,10000.0,POSTED,32125.38
TXN_BORR_00002_01_EMI,BORR_00002,2025-11-15T14:27:10.371416,EMI_PAYMENT,0.0,MISSED,32125.38
TXN_BORR_00002_02_INFLOW,BORR_00002,2025-11-17T14:27:10.371416,BUSINESS_INFLOW,15000.0,POSTED,47125.38
TXN_BORR_00002_02_OUTFLOW,BORR_00002,2025-11-24T14:27:10.371416,BUSINESS_OUTFLOW,10000.0,POSTED,37125.38
TXN_BORR_00002_02_EMI,BORR_00002,2025-12-13T14:27:10.371416,EMI_PAYMENT,3946.49,ON_TIME,33178.89
TXN_BORR_00002_03_INFLOW,BORR_00002,2025-12-18T14:27:10.371416,BUSINESS_INFLOW,15000.0,POSTED,48178.89
TXN_BORR_00002_03_OUTFLOW,BORR_00002,2025-12-25T14:27:10.371416,BUSINESS_OUTFLOW,10000.0,POSTED,38178.89
TXN_BORR_00002_03_EMI,BORR_00002,2026-01-15T14:27:10.371416,EMI_PAYMENT,2903.38,DELAYED,35275.5
TXN_BORR_00002_04_INFLOW,BORR_00002,2026-01-18T14:27:10.371416,BUSINESS_INFLOW,15000.0,POSTED,50275.5
TXN_BORR_00002_04_OUTFLOW,BORR_00002,2026-01-25T14:27:10.371416,BUSINESS_OUTFLOW,10000.0,POSTED,40275.5
TXN_BORR_00002_04_EMI,BORR_00002,2026-02-15T14:27:10.371416,EMI_PAYMENT,0.0,MISSED,40275.5
TXN_BORR_00002_05_INFLOW,BORR_00002,2026-02-18T14:27:10.371416,BUSINESS_INFLOW,15000.0,POSTED,55275.5
TXN_BORR_00002_05_OUTFLOW,BORR_00002,2026-02-25T14:27:10.371416,BUSINESS_OUTFLOW,10000.0,POSTED,45275.5
TXN_BORR_00002_05_EMI,BORR_00002,2026-03-18T14:27:10.371416,EMI_PAYMENT,0.0,MISSED,45275.5
TXN_BORR_00003_00_INFLOW,BORR_00003,2025-09-21T14:27:10.371416,BUSINESS_INFLOW,16461.95,POSTED,41461.95
TXN_BORR_00003_00_OUTFLOW,BORR_00003,2025-09-28T14:27:10.371416,BUSINESS_OUTFLOW,15550.99,POSTED,25910.96
TXN_BORR_00003_00_EMI,BORR_00003,2025-10-17T14:27:10.371416,EMI_PAYMENT,18543.38,ON_TIME,7367.58
TXN_BORR_00003_01_INFLOW,BORR_00003,2025-10-20T14:27:10.371416,BUSINESS_INFLOW,15646.06,POSTED,23013.63
TXN_BORR_00003_01_OUTFLOW,BORR_00003,2025-10-27T14:27:10.371416,BUSINESS_OUTFLOW,16978.03,POSTED,6035.6
TXN_BORR_00003_01_EMI,BORR_00003,2025-11-17T14:27:10.371416,EMI_PAYMENT,18543.38,ON_TIME,0.0
TXN_BORR_00003_02_INFLOW,BORR_00003,2025-11-21T14:27:10.371416,BUSINESS_INFLOW,20159.79,POSTED,20159.79
TXN_BORR_00003_02_OUTFLOW,BORR_00003,2025-11-28T14:27:10.371416,BUSINESS_OUTFLOW,14955.43,POSTED,5204.36
TXN_BORR_00003_02_EMI,BORR_00003,2025-12-17T14:27:10.371416,EMI_PAYMENT,18543.38,ON_TIME,0.0
TXN_BORR_00003_03_INFLOW,BORR_00003,2025-12-17T14:27:10.371416,BUSINESS_INFLOW,19873.16,POSTED,19873.16
TXN_BORR_00003_03_OUTFLOW,BORR_00003,2025-12-24T14:27:10.371416,BUSINESS_OUTFLOW,19487.74,POSTED,385.42
TXN_BORR_00003_03_EMI,BORR_00003,2026-01-13T14:27:10.371416,EMI_PAYMENT,13145.18,DELAYED,0.0
TXN_BORR_00003_04_INFLOW,BORR_00003,2026-01-19T14:27:10.371416,BUSINESS_INFLOW,15000.0,POSTED,15000.0
TXN_BORR_00003_04_OUTFLOW,BORR_00003,2026-01-26T14:27:10.371416,BUSINESS_OUTFLOW,19164.31,POSTED,0.0
TXN_BORR_00003_04_EMI,BORR_00003,2026-02-16T14:27:10.371416,EMI_PAYMENT,15263.71,DELAYED,0.0
TXN_BORR_00003_05_INFLOW,BORR_00003,2026-02-19T14:27:10.371416,BUSINESS_INFLOW,23503.75,POSTED,23503.75
TXN_BORR_00003_05_OUTFLOW,BORR_00003,2026-02-26T14:27:10.371416,BUSINESS_OUTFLOW,16711.8,POSTED,6791.95
TXN_BORR_00003_05_EMI,BORR_00003,2026-03-17T14:27:10.371416,EMI_PAYMENT,18543.38,ON_TIME,0.0
TXN_BORR_00004_00_INFLOW,BORR_00004,2025-09-19T14:27:10.371416,BUSINESS_INFLOW,39364.36,POSTED,68631.55
TXN_BORR_00004_00_OUTFLOW,BORR_00004,2025-09-26T14:27:10.371416,BUSINESS_OUTFLOW,30364.98,POSTED,38266.57
TXN_BORR_00004_00_EMI,BORR_00004,2025-10-15T14:27:10.371416,EMI_PAYMENT,16303.8,ON_TIME,21962.77
TXN_BORR_00004_01_INFLOW,BORR_00004,2025-10-20T14:27:10.371416,BUSINESS_INFLOW,38336.85,POSTED,60299.62
TXN_BORR_00004_01_OUTFLOW,BORR_00004,2025-10-27T14:27:10.371416,BUSINESS_OUTFLOW,39333.41,POSTED,20966.21
TXN_BORR_00004_01_EMI,BORR_00004,2025-11-14T14:27:10.371416,EMI_PAYMENT,16303.8,ON_TIME,4662.41
TXN_BORR_00004_02_INFLOW,BORR_00004,2025-11-17T14:27:10.371416,BUSINESS_INFLOW,35308.27,POSTED,39970.68
TXN_BORR_00004_02_OUTFLOW,BORR_00004,2025-11-24T14:27:10.371416,BUSINESS_OUTFLOW,25747.1,POSTED,14223.58
