timestamp,account_id,amount,beneficiary,type
2026-03-09 13:42:18.884917,ACC_000860,44279.79,BEN_SG_001,UPI/NEFT
2026-03-09 15:22:18.884917,ACC_000860,34131.29,BEN_IN_004,UPI/NEFT
2026-03-09 14:45:18.884917,ACC_000860,8516.47,BEN_RO_003,UPI/NEFT
2026-03-09 09:59:24.884917,ACC_003772,26742.45,BEN_RO_003,UPI/NEFT
2026-03-09 10:31:24.884917,ACC_003772,29399.06,BEN_RO_003,UPI/NEFT
2026-03-10 09:32:48.884917,ACC_003092,14500.49,BEN_IN_004,UPI/NEFT
2026-03-10 09:49:48.884917,ACC_003092,46038.88,BEN_NG_002,UPI/NEFT
2026-03-10 10:02:48.884917,ACC_003092,37248.98,BEN_NG_002,UPI/NEFT
2026-03-10 09:39:48.884917,ACC_003092,24888.1,BEN_RO_003,UPI/NEFT
2026-03-01 11:33:54.884917,ACC_000466,16160.58,BEN_NG_002,UPI/NEFT
2026-03-01 13:16:54.884917,ACC_000466,37895.31,BEN_SG_001,UPI/NEFT
2026-03-01 13:01:54.884917,ACC_000466,34117.84,BEN_IN_004,UPI/NEFT
2026-03-01 13:09:54.884917,ACC_000466,24164.9,BEN_RO_003,UPI/NEFT
2026-03-03 10:00:00.884917,ACC_004426,34944.59,BEN_SG_001,UPI/NEFT
2026-03-01 16:12:18.884917,ACC_003444,19437.22,BEN_SG_001,UPI/NEFT
2026-03-01 16:02:18.884917,ACC_003444,39156.58,BEN_RO_003,UPI/NEFT
2026-03-01 15:22:18.884917,ACC_003444,36498.39,BEN_IN_004,UPI/NEFT
2026-03-01 12:48:00.884917,ACC_003171,28968.75,BEN_RO_003,UPI/NEFT
2026-03-01 23:55:48.884917,ACC_002919,43489.13,BEN_NG_002,UPI/NEFT
2026-03-01 23:52:48.884917,ACC_002919,40951.48,BEN_SG_001,UPI/NEFT
2026-03-02 03:40:48.884917,ACC_000130,28394.1,BEN_NG_002,UPI/NEFT
2026-03-02 03:29:48.884917,ACC_000130,14331.53,BEN_NG_002,UPI/NEFT
2026-03-02 02:27:48.884917,ACC_000130,8561.33,BEN_IN_004,UPI/NEFT
2026-03-06 10:13:06.884917,ACC_001685,38336.33,BEN_IN_004,UPI/NEFT
